region,x_min,x_max,y_min,y_max,util_limit
REG1,0,40,0,40,0.72
REG2,40,80,0,40,0.81
REG3,80,120,0,40,0.68
REG4,120,160,0,40,0.76
REG5,160,200,0,40,0.83

REG6,0,40,40,80,0.75
REG7,40,80,40,80,0.71
REG8,80,120,40,80,0.89
REG9,120,160,40,80,0.67
REG10,160,200,40,80,0.73

REG11,0,40,80,120,0.88
REG12,40,80,80,120,0.79
REG13,80,120,80,120,0.63
REG14,120,160,80,120,0.84
REG15,160,200,80,120,0.69

REG16,0,40,120,160,0.77
REG17,40,80,120,160,0.82
REG18,80,120,120,160,0.74
REG19,120,160,120,160,0.66
REG20,160,200,120,160,0.86
